"accountcode","src","dst","dcontext","clid","channel","dstchannel","lastapp","lastdata","calldate","answerdate","hangupdate","duration","billsec","disposition","amaflags","uniqueid","userfield"
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028ef6","","Hangup","","2023-05-31 00:00:00","2023-05-31 00:00:00","2023-05-31 00:00:17","17","17","ANSWERED","DOCUMENTATION","1685462400.1816",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028ef7","","Hangup","","2023-05-31 00:00:00","2023-05-31 00:00:00","2023-05-31 00:00:17","17","17","ANSWERED","DOCUMENTATION","1685462400.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028ef8","","Hangup","","2023-05-31 00:00:01","2023-05-31 00:00:01","2023-05-31 00:00:18","17","17","ANSWERED","DOCUMENTATION","1685462401.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028ef9","","Hangup","","2023-05-31 00:00:01","2023-05-31 00:00:01","2023-05-31 00:00:18","17","17","ANSWERED","DOCUMENTATION","1685462401.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028efa","","Hangup","","2023-05-31 00:00:02","2023-05-31 00:00:02","2023-05-31 00:00:19","17","17","ANSWERED","DOCUMENTATION","1685462402.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028efb","","Hangup","","2023-05-31 00:00:02","2023-05-31 00:00:02","2023-05-31 00:00:20","18","18","ANSWERED","DOCUMENTATION","1685462402.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028efc","","Hangup","","2023-05-31 00:00:03","2023-05-31 00:00:03","2023-05-31 00:00:20","17","17","ANSWERED","DOCUMENTATION","1685462403.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f00","","Hangup","","2023-05-31 00:00:05","2023-05-31 00:00:05","2023-05-31 00:00:21","16","16","ANSWERED","DOCUMENTATION","1685462405.1817",""
"","6150","s","from-trunk","6150","SIP/122.53.182.213-00028efe","","Hangup","","2023-05-31 00:00:04","2023-05-31 00:00:04","2023-05-31 00:00:21","17","17","ANSWERED","DOCUMENTATION","1685462404.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028efd","","Hangup","","2023-05-31 00:00:04","2023-05-31 00:00:04","2023-05-31 00:00:21","17","17","ANSWERED","DOCUMENTATION","1685462404.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028eff","","Hangup","","2023-05-31 00:00:04","2023-05-31 00:00:04","2023-05-31 00:00:22","18","18","ANSWERED","DOCUMENTATION","1685462404.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f01","","Hangup","","2023-05-31 00:00:06","2023-05-31 00:00:06","2023-05-31 00:00:23","17","17","ANSWERED","DOCUMENTATION","1685462406.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f02","","Hangup","","2023-05-31 00:00:07","2023-05-31 00:00:07","2023-05-31 00:00:24","17","17","ANSWERED","DOCUMENTATION","1685462407.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f03","","Hangup","","2023-05-31 00:00:07","2023-05-31 00:00:07","2023-05-31 00:00:24","17","17","ANSWERED","DOCUMENTATION","1685462407.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f04","","Hangup","","2023-05-31 00:00:08","2023-05-31 00:00:08","2023-05-31 00:00:25","17","17","ANSWERED","DOCUMENTATION","1685462408.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f05","","Hangup","","2023-05-31 00:00:08","2023-05-31 00:00:08","2023-05-31 00:00:26","18","18","ANSWERED","DOCUMENTATION","1685462408.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f06","","Hangup","","2023-05-31 00:00:09","2023-05-31 00:00:09","2023-05-31 00:00:26","17","17","ANSWERED","DOCUMENTATION","1685462409.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f07","","Hangup","","2023-05-31 00:00:10","2023-05-31 00:00:10","2023-05-31 00:00:27","17","17","ANSWERED","DOCUMENTATION","1685462410.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f08","","Hangup","","2023-05-31 00:00:10","2023-05-31 00:00:10","2023-05-31 00:00:27","17","17","ANSWERED","DOCUMENTATION","1685462410.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f09","","Hangup","","2023-05-31 00:00:11","2023-05-31 00:00:11","2023-05-31 00:00:28","17","17","ANSWERED","DOCUMENTATION","1685462411.1817",""
"","1134","s","from-trunk","1134","SIP/122.53.182.213-00028f0a","","Hangup","","2023-05-31 00:00:11","2023-05-31 00:00:11","2023-05-31 00:00:29","18","18","ANSWERED","DOCUMENTATION","1685462411.1817",""
"","6150","s","from-trunk","6150","SIP/122.53.182.213-00028f0b","","Hangup","","2023-05-31 00:00:14","2023-05-31 00:00:14","2023-05-31 00:00:32","18","18","ANSWERED","DOCUMENTATION","1685462414.1817",""
"","6150","s","from-trunk","6150","SIP/122.53.182.213-00028f0c","","Hangup","","2023-05-31 00:00:22","2023-05-31 00:00:22","2023-05-31 00:00:39","17","17","ANSWERED","DOCUMENTATION","1685462422.1817",""
"","4000","s","from-trunk","4000","SIP/122.53.182.213-00028f0d","","Hangup","","2023-05-31 00:00:27","2023-05-31 00:00:27","2023-05-31 00:00:44","17","17","ANSWERED","DOCUMENTATION","1685462427.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f0e","","Hangup","","2023-05-31 00:00:29","2023-05-31 00:00:29","2023-05-31 00:00:46","17","17","ANSWERED","DOCUMENTATION","1685462429.1817",""
